record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
economy,,2016-25,2016,2025,Lao PDR,LAO,LM,LM,True,10,1.8268,7.873,2025,True,,,True
economy,,1988-95,1988,1995,Lebanon,LBN,LM,LM,True,5,,3.595,1990,False,,,False
economy,,1996-2005,1996,2005,Lebanon,LBN,LM,LM,True,10,4.9007,4.671,2005,False,,,False
economy,,2006-15,2006,2015,Lebanon,LBN,LM,UM,True,10,4.402,6.472,2015,False,,,False
economy,,2016-25,2016,2025,Lebanon,LBN,LM,UM,True,9,-4.0431,5.849,2025,False,,,False
economy,,1988-95,1988,1995,Lesotho,LSO,LM,L,False,8,5.6418,1.81,1990,True,,,True
economy,,1996-2005,1996,2005,Lesotho,LSO,LM,LM,True,10,1.4925,1.953,2005,True,,,True
economy,,2006-15,2006,2015,Lesotho,LSO,LM,LM,True,10,2.7708,2.105,2015,True,,,True
economy,,2016-25,2016,2025,Lesotho,LSO,LM,LM,True,10,0.461,2.363,2025,True,,,True
economy,,1988-95,1988,1995,Libya,LBY,UM,UM,True,8,-0.9838,4.445,1990,True,,,True
economy,,1996-2005,1996,2005,Libya,LBY,UM,UM,True,10,-1.0517,5.859,2005,True,,,True
economy,,2006-15,2006,2015,Libya,LBY,UM,UM,True,10,-1.8204,6.532,2015,True,,,True
economy,,2016-25,2016,2025,Libya,LBY,UM,UM,True,10,0.8908,7.459,2025,True,,,True
economy,,1988-95,1988,1995,Malaysia,MYS,UM,LM,True,8,10.1975,17.833,1990,True,,,True
economy,,1996-2005,1996,2005,Malaysia,MYS,UM,UM,True,10,4.6829,25.836,2005,True,,,True
economy,,2006-15,2006,2015,Malaysia,MYS,UM,UM,True,10,8.874,31.233,2015,True,,,True
economy,,2016-25,2016,2025,Malaysia,MYS,UM,UM,True,10,2.3719,35.978,2025,True,,,True
economy,,1988-95,1988,1995,Maldives,MDV,UM,L,False,8,11.1481,0.225,1990,True,,,True
economy,,1996-2005,1996,2005,Maldives,MDV,UM,LM,True,10,6.8735,0.306,2005,True,,,True
economy,,2006-15,2006,2015,Maldives,MDV,UM,LM,True,10,7.8184,0.428,2015,True,,,True
economy,,2016-25,2016,2025,Maldives,MDV,UM,UM,True,10,7.0051,0.53,2025,True,,,True
economy,,1988-95,1988,1995,Marshall Islands,MHL,UM,,False,8,7.5175,0.045,1990,True,,,True
economy,,1996-2005,1996,2005,Marshall Islands,MHL,UM,LM,True,10,3.8434,0.052,2005,True,,,True
economy,,2006-15,2006,2015,Marshall Islands,MHL,UM,LM,True,10,2.5838,0.049,2015,True,,,True
