Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Indonesia,IDN,UM,0.047884,0.01244,0.090712,0.047884,unadjusted,0,10,-0.0059,0.035608,0.091691,0.055118,-0.042289,0.072727,0.094431,0.064159,0.022869,0.04065,projected
"Iran, Islamic Rep.",IRN,UM,0.012327,0.01244,0.090712,0.01244,raised by floor,0.000113,10,0.012821,0.019892,-0.044326,-0.12616,-0.154989,0.032663,0.068127,0.154897,0.011834,-0.093567,projected - raised from 1.2% to the 1.244% floor
Iraq,IRQ,UM,0.011409,0.01244,0.090712,0.01244,raised by floor,0.001031,10,-0.07326,-0.124506,0.088036,0.145228,-0.144928,0.004237,0.162447,0.07441,0.018581,-0.056385,projected - raised from 1.1% to the 1.244% floor
Ireland,IRL,H,0.037475,0.01244,0.071689,0.037475,unadjusted,0,10,0.010317,0.028933,0.086381,0.056674,0.03138,0.149798,0.025651,0.04357,0.017281,0.083199,projected
Isle of Man,IMN,H,0.00115,0.01244,0.071689,0.01244,raised by floor,0.01129,8,-0.05907,-0.010166,0.071126,0.012466,-0.061442,-0.035822,0.026164,0.10951,,,projected - raised from 0.1% to the 1.244% floor
Israel,ISR,H,0.04388,0.01244,0.071689,0.04388,unadjusted,0,10,0.009214,0.03652,0.087047,0.051239,-0.017683,0.145627,0.117244,-0.01767,-0.025514,0.058203,projected
Italy,ITA,H,0.009669,0.01244,0.071689,0.01244,raised by floor,0.002771,10,-0.03168,-0.018827,0.078012,0.022177,-0.069369,0.127607,0.062568,-0.007937,-0.002839,0.089027,projected - raised from 1.0% to the 1.244% floor
Jamaica,JAM,UM,0.060029,0.01244,0.090712,0.060029,unadjusted,0,10,0.010121,0.062124,0.058491,0.057041,-0.096121,0.061567,0.114236,0.082019,0.048105,0.083449,projected
Japan,JPN,H,-0.006713,0.01244,0.071689,0.01244,raised by floor,0.019153,10,-0.02292,0.012239,0.076071,0.005618,-0.02514,0.078319,-0.019043,-0.080361,-0.087629,0.031477,projected - raised from -0.7% to the 1.244% floor
Jordan,JOR,UM,0.023065,0.01244,0.090712,0.023065,unadjusted,0,10,-0.004739,0.02381,0.04186,0.022321,-0.026201,0.042601,0.034409,0.016632,-0.002045,0.077869,projected
Kazakhstan,KAZ,UM,0.054418,0.01244,0.090712,0.054418,unadjusted,0,10,-0.230072,-0.084706,0.002571,0.089744,-0.014118,0.019093,0.100703,0.139362,0.129785,0.135537,projected
Kenya,KEN,LM,0.055556,0.01244,0.074681,0.055556,unadjusted,0,10,0.128788,0.033557,0.116883,0.093023,0.015957,0.08377,0.048309,-0.02765,-0.018957,0.062802,projected
Kiribati,KIR,LM,0.044046,0.01244,0.074681,0.044046,unadjusted,0,10,-0.143266,0.046823,0.047923,0.10061,-0.149584,0.026059,0.04127,0.131098,-0.03504,0.097765,projected
"Korea, Dem. Rep.",PRK,L,,0.01244,0.055948,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
"Korea, Rep.",KOR,H,0.030594,0.01244,0.071689,0.030594,unadjusted,0,10,0.023896,0.035332,0.083594,0.034094,-0.022073,0.07,0.030441,-0.014771,-0.033403,0.030748,projected
Kosovo,XKX,UM,0.090024,0.01244,0.090712,0.090024,unadjusted,0,10,0,0.005089,0.088608,0.07907,-0.040948,0.155056,0.09144,0.121212,0.100159,0.121387,projected
Kuwait,KWT,H,0.055139,0.01244,0.071689,0.055139,unadjusted,0,9,-0.165192,-0.122279,0.055139,0.103278,-0.070908,0.085671,0.086969,0.074642,-0.022122,,projected
Kyrgyz Republic,KGZ,LM,0.075252,0.01244,0.074681,0.074681,cut by cap,-0.000571,10,-0.060345,0,0.100917,0.033333,-0.024194,0.049587,0.212598,0.194805,0.228261,0.238938,projected - cut from 7.5% to the LM p90 cap of 7.47%
Lao PDR,LAO,LM,0.018268,0.01244,0.074681,0.018268,unadjusted,0,10,0.076531,0.061611,0.098214,0.02439,-0.019841,0.012146,-0.08,-0.082609,-0.052133,0.075,projected
Latvia,LVA,H,0.043611,0.01244,0.071689,0.043611,unadjusted,0,10,-0.019204,0.004196,0.114903,0.062461,0.019988,0.112968,0.068358,0.017935,0.024762,0.160781,projected
Lebanon,LBN,LM,-0.040431,0.01244,0.074681,0.01244,raised by floor,0.052871,9,0.04212,0.076923,0.053269,-0.008046,-0.264195,-0.248819,-0.134172,-0.101695,-0.040431,,projected - raised from -4.0% to the 1.244% floor
Lesotho,LSO,LM,0.00461,0.01244,0.074681,0.01244,raised by floor,0.00783,10,-0.03125,-0.064516,0.077586,0.032,-0.093023,0.017094,0.067227,-0.007874,-0.015873,0.032258,projected - raised from 0.5% to the 1.244% floor
Liberia,LBR,L,0.032006,0.01244,0.055948,0.032006,unadjusted,0,10,-0.016129,0.016393,0,-0.032258,-0.05,0.105263,0.047619,0.075758,0.056338,0.106667,projected
Libya,LBY,UM,0.008908,0.01244,0.090712,0.01244,raised by floor,0.003532,10,-0.083632,0.27249,0.127049,-0.081818,-0.306931,-0.007143,-0.135252,0.024958,0.102273,0.067747,projected - raised from 0.9% to the 1.244% floor
Liechtenstein,LIE,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Lithuania,LTU,H,0.075338,0.01244,0.071689,0.071689,cut by cap,-0.003649,10,-0.021682,0.024849,0.150066,0.094017,0.03125,0.113131,0.08167,0.063758,0.069006,0.125046,projected - cut from 7.5% to the H p90 cap of 7.17%
Luxembourg,LUX,H,0.019146,0.01244,0.071689,0.019146,unadjusted,0,10,0.00272,0.028075,0.056992,-0.010484,0.010217,0.084405,-0.030628,0.050956,-0.043287,0.130774,projected
